60,2023-06-07 13:15:00+00:00
timestep=60,x_sat,y_sat,z_sat,sat_in_sun,earth_sun,sat_pos,sun_sat_pos,lat,lon,height
3960.0,-2408819.0505683734,3605397.002527464,5216448.395980461,True,[-3.60281369e+10 -1.35310850e+11 -5.86553642e+10],[-2408819.05056837  3605397.00252746  5216448.39598046],[-3.60305457e+10 -1.35307245e+11 -5.86501477e+10],50.372643366773104,13.200808342746605,417768.6944465083
4020.0,-2821754.879904208,3420275.492588506,5133838.48423212,True,[-3.60264303e+10 -1.35311246e+11 -5.86555358e+10],[-2821754.87990421  3420275.49258851  5133838.48423212],[-3.60292521e+10 -1.35307826e+11 -5.86504019e+10],49.28074417231567,18.711794940866575,417679.8356481814
4080.0,-3221759.076637623,3219479.1350787124,5027633.299265173,True,[-3.60247237e+10 -1.35311642e+11 -5.86557073e+10],[-3221759.07663762  3219479.13507871  5027633.29926517],[-3.60279455e+10 -1.35308422e+11 -5.86506797e+10],47.91512519019636,23.94396302778826,417541.5999996376
4140.0,-3606998.351661222,3003928.051790726,4898320.80192668,True,[-3.60230172e+10 -1.35312038e+11 -5.86558789e+10],[-3606998.35166122  3003928.05179073  4898320.80192668],[-3.60266242e+10 -1.35309034e+11 -5.86509806e+10],46.30196244632013,28.870780036950936,417360.4970756049
4200.0,-3975706.9064981453,2774609.8787296475,4746494.966040478,True,[-3.60213106e+10 -1.35312433e+11 -5.86560504e+10],[-3975706.90649815  2774609.87872965  4746494.96604048],[-3.60252863e+10 -1.35309659e+11 -5.86513039e+10],44.46820159227358,33.483090337971575,417144.3353388589
4260.0,-4326194.525220029,2532575.2986391135,4572853.120267851,True,[-3.60196040e+10 -1.35312829e+11 -5.86562220e+10],[-4326194.52522003  2532575.29863911  4572853.12026785],[-3.60239302e+10 -1.35310296e+11 -5.86516491e+10],42.440124098566486,37.785463841937236,416902.06132627535
4320.0,-4656854.346467714,2278933.281038729,4378192.81969421,True,[-3.60178974e+10 -1.35313225e+11 -5.86563935e+10],[-4656854.34646771  2278933.28103873  4378192.81969421],[-3.60225543e+10 -1.35310946e+11 -5.86520153e+10],40.24239545882472,41.792246887857225,416643.57557365077
4380.0,-4966170.279689868,2014846.0473084021,4163408.2561585475,True,[-3.60161908e+10 -1.35313620e+11 -5.86565650e+10],[-4966170.27968987  2014846.0473084   4163408.25615855],[-3.60211570e+10 -1.35311605e+11 -5.86524016e+10],37.8975400159127,45.524010680252,416379.5284729808
4440.0,-5252724.029814932,1741523.779972541,3929486.2183890752,True,[-3.60144842e+10 -1.35314016e+11 -5.86567366e+10],[-5252724.02981493  1741523.77997254  3929486.21838908],[-3.60197370e+10 -1.35312274e+11 -5.86528071e+10],35.42574167597129,49.0047174631135,416121.0996653655
4500.0,-5515201.694888682,1460219.0970861462,3677501.6152846166,True,[-3.60127776e+10 -1.35314412e+11 -5.86569081e+10],[-5515201.69488868  1460219.09708615  3677501.61528462],[-3.60182928e+10 -1.35312951e+11 -5.86532306e+10],32.84486553930869,52.259657863386046,415879.7649378298
4560.0,-5752399.901839302,1172221.3144440083,3408612.5781619903,True,[-3.60110710e+10 -1.35314807e+11 -5.86570796e+10],[-5752399.9018393   1172221.31444401  3408612.57816199],[-3.60168234e+10 -1.35313635e+11 -5.86536710e+10],30.170612414070067,55.31406837715432,415667.0549024836
4620.0,-5963231.446517741,878850.5202055289,3124055.1604465535,True,[-3.60093644e+10 -1.35315203e+11 -5.86572511e+10],[-5963231.44651774   878850.52020553  3124055.16044655],[-3.60153276e+10 -1.35314324e+11 -5.86541270e+10],27.41674150712147,58.19228457565645,415494.3099800261
4680.0,-6146730.405561794,581451.4883915046,2825137.656078488,True,[-3.60076578e+10 -1.35315598e+11 -5.86574225e+10],[-6146730.40556179   581451.4883915   2825137.65607849],[-3.60138045e+10 -1.35315017e+11 -5.86545974e+10],24.595318261504456,60.917284886921315,415372.4363760437
4740.0,-6302056.689503897,281387.4594901113,2513234.5607492574,True,[-3.60059512e+10 -1.35315994e+11 -5.86575940e+10],[-6302056.6895039    281387.45949011  2513234.56074926],[-3.60122532e+10 -1.35315713e+11 -5.86550808e+10],21.716961275979997,63.51050259745017,415311.6678171383
4800.0,-6428500.008854797,-19966.18189703264,2189780.202978069,True,[-3.60042445e+10 -1.35316389e+11 -5.86577655e+10],[-6428500.0088548    -19966.18189703  2189780.20297807],[-3.60106730e+10 -1.35316409e+11 -5.86555757e+10],18.791074206738944,65.99181265950115,415321.33779595327
4860.0,-6525483.227715283,-321228.3009428968,1856262.074833622,True,[-3.60025379e+10 -1.35316785e+11 -5.86579370e+10],[-6525483.22771528  -321228.3009429   1856262.07483362],[-3.60090634e+10 -1.35317106e+11 -5.86560807e+10],15.826056368661112,68.37962660364542,415409.66695310763
4920.0,-6592565.0827304525,-621018.4453182492,1514213.8948032693,True,[-3.60008313e+10 -1.35317180e+11 -5.86581084e+10],[-6592565.08273045  -621018.44531825  1514213.89480327],[-3.60074238e+10 -1.35317801e+11 -5.86565942e+10],12.829490538912431,70.69105035439543,415583.56999620923
4980.0,-6629442.248902904,-917963.2830539013,1165208.4377959613,True,[-3.59991246e+10 -1.35317576e+11 -5.86582799e+10],[-6629442.2489029   -917963.2830539   1165208.43779596],[-3.60057541e+10 -1.35318494e+11 -5.86571146e+10],9.808309207361907,72.94207574571797,415848.4862212624
5040.0,-6635950.737865428,-1210703.0111701968,810850.1694882861,True,[-3.59974180e+10 -1.35317971e+11 -5.86584513e+10],[-6635950.73786543 -1210703.0111702    810850.16948829],[-3.60040539e+10 -1.35319182e+11 -5.86576404e+10],6.768941967507462,75.14778784144407,416208.2372637169
5100.0,-6612066.618619322,-1497897.7003963878,452767.724107391,False,[-3.59957113e+10 -1.35318367e+11 -5.86586227e+10],[-6612066.61861932 -1497897.70039639   452767.72410739],[-3.60023234e+10 -1.35319865e+11 -5.86581700e+10],3.7174474210874067,77.32257785841696,416664.91517325176
5160.0,-6557906.055396754,-1778233.5413433793,92606.26628130679,False,[-3.59940047e+10 -1.35318762e+11 -5.86587941e+10],[-6557906.05539675 -1778233.54134338    92606.26628131],[-3.60005626e+10 -1.35320540e+11 -5.86587015e+10],0.659633223173821,79.48035655028494,417218.80328920006
5220.0,-6473724.66212009,-2050428.9579919255,-267980.22137318854,False,[-3.59922980e+10 -1.35319158e+11 -5.86589656e+10],[-6473724.66212009 -2050428.95799193  -267980.22137319],[-3.59987717e+10 -1.35321208e+11 -5.86592335e+10],-2.398832062993853,81.6347661102694,417868.33170894586
5280.0,-6359916.177817547,-2313240.5551709663,-627336.6825709669,False,[-3.59905913e+10 -1.35319553e+11 -5.86591370e+10],[-6359916.17781755 -2313240.55517097  -627336.68257097],[-3.59969512e+10 -1.35321866e+11 -5.86597643e+10],-5.452311669919087,83.79939054144445,418610.0684071834
5340.0,-6217010.472210341,-2565468.867987067,-983814.721139851,False,[-3.59888846e+10 -1.35319948e+11 -5.86593084e+10],[-6217010.47221034 -2565468.86798707  -983814.72113985],[-3.59951017e+10 -1.35322514e+11 -5.86602922e+10],-8.495094304016682,85.98796537728931,419438.74630136305
5400.0,-6045670.895441572,-2805963.88273365,-1335780.282077689,False,[-3.59871780e+10 -1.35320344e+11 -5.86594797e+10],[-6045670.89544157 -2805963.88273365 -1335780.28207769],[-3.59932236e+10 -1.35323150e+11 -5.86608155e+10],-11.521285233205166,88.21458779776022,420347.3257896172
5460.0,-5846690.990427349,-3033630.3008007235,-1681621.2385883103,False,[-3.59854713e+10 -1.35320739e+11 -5.86596511e+10],[-5846690.99042735 -3033630.30080072 -1681621.23858831],[-3.59913180e+10 -1.35323773e+11 -5.86613327e+10],-14.524691207729685,90.49392761539046,421327.0915349333
